name,url
Oracle,https://eeho.fa.us2.oraclecloud.com
Amazon,https://amazon.fa.us1.oraclecloud.com
CVS Health,https://cvshealth.fa.us2.oraclecloud.com
IBM,https://ibm.fa.us2.oraclecloud.com
Target,https://target.fa.us2.oraclecloud.com
UPS,https://ups.fa.us2.oraclecloud.com
Walmart,https://walmart.fa.us2.oraclecloud.com
Accenture,https://accenture.fa.em2.oraclecloud.com
Deloitte,https://deloitte.fa.us2.oraclecloud.com
EY,https://ey.fa.us2.oraclecloud.com
PwC,https://pwc.fa.us2.oraclecloud.com
Salesforce,https://salesforce.fa.us2.oraclecloud.com
Adobe,https://adobe.fa.us2.oraclecloud.com
Cisco,https://cisco.fa.us2.oraclecloud.com
Intel,https://intel.fa.us2.oraclecloud.com
Nike,https://nike.fa.us2.oraclecloud.com
Starbucks,https://starbucks.fa.us2.oraclecloud.com
